epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.273,0.8399,1.15804,1.35663,0.80016,0.80729,0.88046,0.70559,0.73397,0.88607,1.22438,0.000112259,0.000112259,0.0751658
2,454.765,0.7989,1.0716,1.31101,0.86487,0.81365,0.8998,0.72989,0.70354,0.80884,1.18256,0.00022475,0.00022475,0.0502783
3,654.3,0.79095,1.05478,1.3056,0.84198,0.79808,0.88578,0.72894,0.65388,0.82527,1.1689,0.000337202,0.000337202,0.0253907
4,999.365,0.78588,1.04265,1.30432,0.84869,0.85252,0.91615,0.75731,0.65927,0.74245,1.17032,0.000449587,0.000449587,0.00050312
5,1170.76,0.78763,1.03791,1.30423,0.88114,0.8256,0.91355,0.76564,0.63802,0.75022,1.14924,0.000449693,0.000449693,0.000449693
6,1379.77,0.78093,1.00967,1.29791,0.85918,0.82532,0.90971,0.76901,0.62276,0.75395,1.14169,0.000449521,0.000449521,0.000449521
7,1536.73,0.77957,0.99404,1.29846,0.86676,0.82757,0.90826,0.76221,0.63492,0.74243,1.15115,0.00044931,0.00044931,0.00044931
8,1680.56,0.77851,0.98354,1.29445,0.87723,0.82131,0.90952,0.75185,0.6718,0.75814,1.18348,0.000449061,0.000449061,0.000449061
9,1816.36,0.76319,0.96416,1.28028,0.86726,0.8273,0.91121,0.7513,0.65225,0.78774,1.15602,0.000448774,0.000448774,0.000448774
10,1953.83,0.76419,0.95856,1.28424,0.8731,0.848,0.9183,0.77296,0.63683,0.70535,1.12962,0.000448448,0.000448448,0.000448448
11,2148.81,0.76389,0.95779,1.28592,0.87302,0.82932,0.91598,0.76427,0.64027,0.73467,1.15575,0.000448085,0.000448085,0.000448085
12,2303.57,0.75917,0.95352,1.27754,0.88802,0.83419,0.92379,0.75891,0.66611,0.70225,1.16586,0.000447683,0.000447683,0.000447683
13,2496.71,0.74436,0.92497,1.27163,0.87839,0.81228,0.90916,0.76637,0.61873,0.72531,1.13599,0.000447244,0.000447244,0.000447244
14,2634.64,0.74639,0.91651,1.26654,0.85313,0.84896,0.91383,0.76713,0.62069,0.7173,1.12989,0.000446766,0.000446766,0.000446766
15,2769.25,0.75137,0.92215,1.27123,0.87199,0.84487,0.92082,0.77313,0.638,0.68621,1.15311,0.000446251,0.000446251,0.000446251
16,2904.78,0.74135,0.90458,1.26503,0.87821,0.81412,0.91243,0.7587,0.64225,0.72559,1.1558,0.000445698,0.000445698,0.000445698
17,3039.41,0.72661,0.88047,1.25272,0.88216,0.80974,0.89902,0.75122,0.64764,0.74307,1.15738,0.000445108,0.000445108,0.000445108
18,3174.62,0.74501,0.89897,1.26596,0.88219,0.80951,0.91033,0.74635,0.69134,0.74764,1.1903,0.00044448,0.00044448,0.00044448
19,3394.86,0.74576,0.89975,1.26933,0.81534,0.83833,0.89963,0.743,0.67071,0.79631,1.19041,0.000443814,0.000443814,0.000443814
20,3532.99,0.73392,0.87561,1.256,0.87999,0.83129,0.91017,0.75164,0.68612,0.72104,1.17156,0.000443112,0.000443112,0.000443112
21,3672.59,0.73196,0.86928,1.2529,0.86513,0.82243,0.91219,0.76013,0.64048,0.73919,1.1435,0.000442372,0.000442372,0.000442372
22,3816.75,0.72957,0.87267,1.25967,0.87722,0.82974,0.91447,0.76177,0.6433,0.71311,1.15549,0.000441595,0.000441595,0.000441595
23,3960.47,0.73238,0.87353,1.2524,0.85125,0.83905,0.9066,0.7648,0.6289,0.73336,1.13723,0.000440781,0.000440781,0.000440781
24,4103.53,0.72304,0.85792,1.2505,0.89789,0.79758,0.8975,0.74852,0.64363,0.73966,1.14743,0.00043993,0.00043993,0.00043993
25,4262.35,0.71932,0.84228,1.24365,0.88324,0.81711,0.9112,0.76688,0.63482,0.71757,1.14174,0.000439043,0.000439043,0.000439043
26,4402.69,0.71994,0.83942,1.24237,0.86444,0.84929,0.91673,0.77214,0.6333,0.68954,1.14354,0.000438119,0.000438119,0.000438119
27,4537.84,0.70554,0.82857,1.23514,0.88679,0.81033,0.91235,0.77216,0.62004,0.69749,1.14481,0.000437159,0.000437159,0.000437159
28,4673.14,0.71493,0.83704,1.2449,0.86802,0.83067,0.90766,0.76364,0.64009,0.71629,1.14176,0.000436163,0.000436163,0.000436163
29,4866.08,0.70796,0.82536,1.23439,0.86587,0.8514,0.92116,0.7839,0.60875,0.67431,1.12279,0.00043513,0.00043513,0.00043513
30,5058.03,0.70538,0.82557,1.23345,0.87136,0.8358,0.91511,0.78471,0.60174,0.69335,1.11321,0.000434062,0.000434062,0.000434062
31,5192.55,0.70684,0.81864,1.2343,0.87773,0.84165,0.91382,0.77568,0.61574,0.70028,1.13214,0.000432959,0.000432959,0.000432959
32,5329.23,0.70077,0.81244,1.22258,0.87939,0.82837,0.91227,0.77148,0.62199,0.69251,1.13338,0.000431819,0.000431819,0.000431819
33,5463.97,0.70965,0.81728,1.23316,0.89427,0.82493,0.91154,0.77055,0.62867,0.7013,1.146,0.000430645,0.000430645,0.000430645
34,5598.25,0.69806,0.79462,1.22617,0.88373,0.84099,0.91456,0.77427,0.62592,0.68706,1.13408,0.000429436,0.000429436,0.000429436
35,5737.05,0.70194,0.8043,1.23203,0.89151,0.81813,0.90722,0.77003,0.60603,0.71217,1.12068,0.000428191,0.000428191,0.000428191
36,5875.35,0.70124,0.79968,1.22513,0.87656,0.8417,0.9162,0.77666,0.61056,0.6808,1.12662,0.000426912,0.000426912,0.000426912
37,6012.96,0.6929,0.78221,1.21895,0.9048,0.81377,0.91033,0.76891,0.61511,0.69954,1.13278,0.000425599,0.000425599,0.000425599
38,6151.05,0.69009,0.78002,1.22259,0.89585,0.81885,0.91468,0.77292,0.62834,0.70634,1.13942,0.000424252,0.000424252,0.000424252
39,6287.08,0.69473,0.78434,1.21875,0.86111,0.8454,0.91056,0.7787,0.6018,0.68875,1.11863,0.00042287,0.00042287,0.00042287
40,6425.27,0.68917,0.77802,1.21747,0.89805,0.82104,0.91425,0.77842,0.60702,0.69514,1.11875,0.000421455,0.000421455,0.000421455
41,6564.08,0.68607,0.7693,1.21711,0.88382,0.83156,0.91235,0.77783,0.60898,0.69859,1.12272,0.000420006,0.000420006,0.000420006
42,6703.61,0.68343,0.77083,1.21867,0.8655,0.83685,0.91054,0.77586,0.59606,0.69624,1.11246,0.000418525,0.000418525,0.000418525
43,6842.93,0.6778,0.7536,1.2087,0.89412,0.82422,0.90848,0.77597,0.59777,0.68182,1.12068,0.00041701,0.00041701,0.00041701
44,6983.94,0.68352,0.76738,1.21318,0.88615,0.8316,0.9113,0.78297,0.58837,0.67753,1.10368,0.000415462,0.000415462,0.000415462
45,7117.35,0.67198,0.74075,1.20361,0.89606,0.81699,0.90716,0.77252,0.59732,0.70332,1.11914,0.000413882,0.000413882,0.000413882
