epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9309,0.93832,2.56574,1.34437,0.62347,0.38721,0.43286,0.30696,0.9631,2.32639,1.4821,0.000331641,0.000331641,0.0671675
2,59.6805,0.93074,1.8993,1.33758,0.41335,0.49952,0.46992,0.33607,0.97462,1.96873,1.47347,0.000664812,0.000664812,0.0341674
3,85.841,0.94801,1.70654,1.34554,0.65347,0.49158,0.57221,0.4072,0.96891,1.60577,1.43654,0.000997333,0.000997333,0.00116654
4,111.493,0.94408,1.56673,1.33768,0.5722,0.5037,0.56704,0.42158,0.92166,1.61192,1.3819,0.000997803,0.000997803,0.000997803
5,136.967,0.91454,1.46031,1.30708,0.67085,0.56874,0.64299,0.45868,0.94979,1.41862,1.4132,0.000996097,0.000996097,0.000996097
6,162.693,0.89675,1.38488,1.28313,0.6396,0.54363,0.62273,0.43928,0.94713,1.37239,1.43024,0.000993906,0.000993906,0.000993906
7,188.072,0.87408,1.3132,1.27643,0.67231,0.55489,0.65665,0.46332,0.90018,1.34687,1.35731,0.000991232,0.000991232,0.000991232
8,212.174,0.85418,1.29053,1.26135,0.581,0.58651,0.61935,0.45608,0.88951,1.42914,1.33792,0.000988079,0.000988079,0.000988079
9,236.2,0.83347,1.24627,1.25431,0.618,0.62967,0.65896,0.46978,0.95052,1.39674,1.3987,0.000984449,0.000984449,0.000984449
10,260.253,0.81273,1.15585,1.22576,0.70059,0.63952,0.71448,0.53046,0.8562,1.19601,1.31261,0.000980345,0.000980345,0.000980345
11,284.447,0.79149,1.09186,1.21692,0.67519,0.67657,0.72649,0.55095,0.82711,1.21936,1.2944,0.000975773,0.000975773,0.000975773
12,308.747,0.80376,1.11883,1.22425,0.7369,0.63502,0.73403,0.55763,0.81132,1.15548,1.26447,0.000970736,0.000970736,0.000970736
13,333.796,0.80341,1.10305,1.23461,0.70606,0.66498,0.7107,0.54214,0.84589,1.25142,1.31367,0.000965239,0.000965239,0.000965239
14,357.668,0.75869,1.02855,1.1885,0.73233,0.68153,0.74563,0.55863,0.85457,1.14017,1.32002,0.000959289,0.000959289,0.000959289
15,381.51,0.77472,1.00179,1.19792,0.74457,0.69147,0.74658,0.57454,0.82469,1.12807,1.29592,0.000952889,0.000952889,0.000952889
16,405.462,0.73876,0.98444,1.17193,0.74763,0.64443,0.73699,0.55038,0.8621,1.23365,1.31058,0.000946048,0.000946048,0.000946048
17,429.236,0.75371,0.97246,1.17594,0.67898,0.70042,0.75601,0.58778,0.80082,1.12949,1.26545,0.000938772,0.000938772,0.000938772
18,453.024,0.72428,0.94583,1.17455,0.72248,0.69344,0.75205,0.57142,0.80797,1.0961,1.27555,0.000931067,0.000931067,0.000931067
19,477.169,0.73464,0.90983,1.16965,0.6696,0.70579,0.73025,0.5513,0.81658,1.121,1.27689,0.000922942,0.000922942,0.000922942
20,501.116,0.73617,0.9058,1.15294,0.7284,0.62684,0.72865,0.56114,0.78836,1.0516,1.25402,0.000914405,0.000914405,0.000914405
21,525.773,0.69642,0.84717,1.13667,0.67849,0.69821,0.73077,0.55825,0.79573,1.10812,1.26079,0.000905463,0.000905463,0.000905463
