epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.742,1.06984,1.86471,1.53649,0.60774,0.41654,0.47806,0.32017,1.20661,2.34055,1.84101,0.00019798,0.00019798,0.0672013
2,77.0511,1.02046,1.71259,1.49156,0.52918,0.393,0.44129,0.27107,1.50965,2.9018,2.03847,0.00039796,0.00039796,0.034068
3,113.455,1.04222,1.75304,1.51774,0.64434,0.50743,0.57073,0.37521,1.21442,1.95746,1.77931,0.000597858,0.000597858,0.000934559
4,153.86,1.0754,1.80589,1.55724,0.59252,0.51281,0.53917,0.36749,1.22828,2.57277,1.81971,0.000599726,0.000599726,0.000599726
5,190.817,1.07701,1.76204,1.54184,0.59419,0.5629,0.59296,0.39662,1.21748,1.9084,1.76506,0.000599513,0.000599513,0.000599513
6,226.448,1.06041,1.70121,1.52608,0.5865,0.56634,0.61566,0.39955,1.28197,2.00776,1.83954,0.000599239,0.000599239,0.000599239
7,269.479,1.03408,1.66091,1.49616,0.61567,0.61749,0.65075,0.44799,1.10335,1.64657,1.65862,0.000598905,0.000598905,0.000598905
8,315.58,1.00983,1.57679,1.48649,0.65539,0.6029,0.64252,0.43739,1.13088,1.85544,1.70017,0.00059851,0.00059851,0.00059851
9,375.905,0.99981,1.52583,1.47646,0.57657,0.68748,0.6747,0.48003,1.10552,1.66709,1.63158,0.000598054,0.000598054,0.000598054
10,444.766,0.9913,1.49407,1.48165,0.75794,0.62838,0.72849,0.49815,1.04236,1.49134,1.5996,0.000597538,0.000597538,0.000597538
11,503.465,0.99133,1.46437,1.46068,0.68885,0.61438,0.70951,0.4991,1.0502,1.59893,1.63298,0.000596962,0.000596962,0.000596962
12,568.439,0.98081,1.477,1.44292,0.67056,0.62848,0.66999,0.46023,1.15687,1.57107,1.69786,0.000596325,0.000596325,0.000596325
13,628.197,0.97671,1.44402,1.44622,0.79108,0.683,0.76013,0.53182,1.06968,1.45753,1.63898,0.000595628,0.000595628,0.000595628
14,663.558,0.94715,1.42071,1.42922,0.71297,0.72512,0.75739,0.55427,0.97924,1.35832,1.53404,0.000594871,0.000594871,0.000594871
15,714.254,0.94186,1.39234,1.41624,0.69063,0.66168,0.7327,0.4906,1.14803,1.61344,1.66024,0.000594055,0.000594055,0.000594055
16,764.434,0.93731,1.31063,1.41813,0.74753,0.70437,0.77685,0.5326,1.06277,1.36293,1.60181,0.000593178,0.000593178,0.000593178
17,818.076,0.94342,1.30007,1.41715,0.69501,0.66273,0.72768,0.53606,1.01494,1.51978,1.55102,0.000592243,0.000592243,0.000592243
18,867.664,0.92146,1.28346,1.39794,0.71014,0.71293,0.77464,0.56157,1.00648,1.46125,1.57712,0.000591247,0.000591247,0.000591247
19,912.489,0.90611,1.29671,1.38234,0.66305,0.72729,0.74959,0.54289,1.022,1.39682,1.56917,0.000590193,0.000590193,0.000590193
20,954.832,0.90088,1.21296,1.38161,0.83869,0.6554,0.77027,0.56971,0.98603,1.28192,1.55133,0.00058908,0.00058908,0.00058908
