epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1606,1.26517,3.37274,1.68525,0.44954,0.56012,0.49794,0.31026,1.2566,3.79728,1.85242,0.000329966,0.000329966,0.0673333
2,69.4682,1.20055,2.24862,1.63012,0.53758,0.50671,0.53116,0.32083,1.31596,2.62598,2.00428,0.000661501,0.000661501,0.0343315
3,99.6809,1.2328,2.21187,1.65786,0.53366,0.57413,0.59486,0.38096,1.23405,2.30974,1.86141,0.000985852,0.000985852,0.00132255
4,129.031,1.23565,2.07759,1.6433,0.7078,0.53483,0.58661,0.38285,1.2931,2.00513,1.88733,0.000975773,0.000975773,0.000975773
5,159.715,1.16844,1.93443,1.57244,0.58829,0.54526,0.60165,0.39078,1.20307,2.06511,1.75964,0.000957205,0.000957205,0.000957205
6,190.325,1.15385,1.91826,1.56766,0.71017,0.52603,0.62471,0.38121,1.30851,1.87896,1.83381,0.000933683,0.000933683,0.000933683
7,221.485,1.12477,1.83194,1.54996,0.64522,0.61228,0.66121,0.44612,1.09861,2.01944,1.69884,0.000905463,0.000905463,0.000905463
8,251.171,1.11396,1.72722,1.53506,0.6607,0.6066,0.67621,0.45598,1.15405,1.71501,1.75042,0.000872857,0.000872857,0.000872857
9,280.982,1.08483,1.59821,1.50683,0.72704,0.60084,0.69221,0.45178,1.21566,1.6718,1.81848,0.00083622,0.00083622,0.00083622
10,311.339,1.06425,1.57383,1.49777,0.66939,0.63127,0.68043,0.45083,1.19468,1.69878,1.74344,0.000795954,0.000795954,0.000795954
11,340.686,1.0328,1.47526,1.45754,0.74408,0.6744,0.7478,0.52504,1.04387,1.45576,1.62734,0.0007525,0.0007525,0.0007525
12,370.438,1.03287,1.47238,1.45534,0.76878,0.61366,0.72694,0.48159,1.16042,1.5212,1.70678,0.000706335,0.000706335,0.000706335
13,400.056,1.00469,1.43403,1.44142,0.73408,0.64524,0.73345,0.50826,1.09711,1.62878,1.68286,0.000657963,0.000657963,0.000657963
14,429.517,0.98398,1.35556,1.41935,0.66533,0.68452,0.72068,0.51213,1.09056,1.53247,1.63738,0.000607916,0.000607916,0.000607916
15,459.318,0.95953,1.35934,1.41416,0.73278,0.68511,0.74344,0.50763,1.10234,1.46223,1.67871,0.000556742,0.000556742,0.000556742
16,489.646,0.95307,1.32183,1.39766,0.76853,0.67731,0.77551,0.55887,1.02484,1.28842,1.58509,0.000505,0.000505,0.000505
17,521.53,0.94343,1.25026,1.38637,0.69245,0.73394,0.77191,0.53269,1.08037,1.38004,1.6425,0.000453258,0.000453258,0.000453258
18,552.186,0.92069,1.21899,1.36853,0.75135,0.69462,0.78428,0.56136,1.02019,1.26863,1.57752,0.000402084,0.000402084,0.000402084
19,585.713,0.90996,1.17526,1.36156,0.78017,0.68325,0.78841,0.57715,1.00215,1.31126,1.55309,0.000352037,0.000352037,0.000352037
20,617.574,0.8898,1.14141,1.33978,0.77421,0.72712,0.79064,0.54259,1.09597,1.27493,1.63433,0.000303665,0.000303665,0.000303665
21,647.981,0.89193,1.11942,1.35151,0.74493,0.75781,0.80753,0.59085,0.97131,1.19283,1.53114,0.0002575,0.0002575,0.0002575
22,678.459,0.86581,1.08405,1.32528,0.8352,0.67108,0.80674,0.57584,1.02331,1.24185,1.58151,0.000214046,0.000214046,0.000214046
23,709.617,0.8638,1.04689,1.32072,0.80361,0.68259,0.79513,0.57901,0.99836,1.21365,1.57557,0.00017378,0.00017378,0.00017378
24,741.149,0.85383,1.04974,1.32311,0.82481,0.6623,0.79996,0.57503,1.0072,1.23426,1.56157,0.000137143,0.000137143,0.000137143
25,771.353,0.84174,1.01474,1.30403,0.74052,0.75392,0.80683,0.58676,1.00159,1.20566,1.57123,0.000104537,0.000104537,0.000104537
26,811.3,0.69556,0.68584,1.25608,0.71476,0.77666,0.81631,0.592,0.95113,1.20112,1.53893,7.63174e-05,7.63174e-05,7.63174e-05
27,838.014,0.69573,0.65507,1.25208,0.813,0.70564,0.81723,0.58277,1.01919,1.21183,1.59052,5.2795e-05,5.2795e-05,5.2795e-05
28,864.002,0.68574,0.62991,1.24811,0.83771,0.70026,0.81835,0.5969,0.98614,1.15546,1.57271,3.4227e-05,3.4227e-05,3.4227e-05
29,890.279,0.68949,0.62835,1.24272,0.81879,0.71095,0.81704,0.59039,0.98735,1.16757,1.56719,2.08169e-05,2.08169e-05,2.08169e-05
30,916.497,0.67725,0.62129,1.2338,0.81793,0.7096,0.81575,0.59277,0.97419,1.18318,1.55332,1.27117e-05,1.27117e-05,1.27117e-05
